;;;;;;;;;;;;;;;;;;;;;;;;;;;
KALEM BAZINDA AMBALAJ TIR KAMPANYASI MALİYETLERİ FAWORİ OPTİMİX (ARALIK 2025-8);;;;;;;;;;;;;;;;;;;;;;;;;;;
MALZEME İSMİ;KDV DAHİL LİSTE FİYATI;"İSK
1";"İSK
2";"İSK
3";"İSK
4";"İSK
5";"İSK
6";KDV DAHİL İSKONTOLU FİYATI ;KDV DAHİL M2 FİYATI;;2025-7;;;;;"MALZEME İSMİ
EYLÜL 2025-6";KDV DAHİL LİSTE FİYATI;"İSK
1";"İSK
2";"İSK
3";"İSK
4";"İSK
5";"İSK
6";KDV DAHİL İSKONTOLU FİYATI ;KDV DAHİL M2 FİYATI;;
Fawori Optimix Beton Dübeli 11,5 cm çelik çivili        200 adet;674,73 TL;9;8;;;;;564,88 TL;;0,00%;674,73 TL;;470,74;;;;;;;;;;;;;517,81;
Fawori Optimix Beton Dübeli 13,5 cm çelik çivili        200 adet;740,88 TL;9;8;;;;;620,26 TL;;0,00%;740,88 TL;;516,89;;;;;;;;;;;;;568,58;
Fawori Optimix Beton Dübeli 15,5 cm çelik çivili        200 adet;873,18 TL;9;8;;;;;731,03 TL;;0,00%;873,18 TL;;609,19;;;;;;;;;;;;;670,11;
Fawori Optimix Taşyünü Dübel Pulu                            200 adet;327,60 TL;9;8;;;;;274,27 TL;;0,00%;327,60 TL;;228,56;;;;;;;;;;;;;251,41;
Fawori Optimix Donatı Filesi F160 50 m2;1.532,79 TL;9;8;;;;;1.283,25 TL;;0,00%;1.532,79 TL;;1069,38;;;;;;;;;;;;;1176,31;
Fawori Optimix Fileli Köşe (PVC) 2,5 m      (50 adet 125 m);2.520,00 TL;9;8;;;;;2.109,74 TL;;0,00%;2.520,00 TL;;1758,12;;;;;;;;;;;;;1933,93;
Fawori Optimix PVC Fileli Fuga Profili 3*1,6cm 3 m (10 adet 30 m);1.230,00 TL;9;8;;;;;1.029,76 TL;;0,00%;1.230,00 TL;;858,13;;;;;;;;;;;;;943,94;
Fawori Optimix PVC Fileli Fuga Profili 5*1,6cm 3 m (10 adet 30 m);1.440,00 TL;9;8;;;;;1.205,57 TL;;0,00%;1.440,00 TL;;1004,64;;;;;;;;;;;;;1105,10;
Fawori Optimix pvc Denizlik Uzatma Profili 5cm ( 25 adet 75 m);5.520,00 TL;9;8;;;;;4.621,34 TL;;0,00%;5.520,00 TL;;3851,12;;;;;;;;;;;;;4236,23;
Fawori Optimix pvc Denizlik Uzatma Profili 8cm ( 20 adet 60 m);6.000,00 TL;9;8;;;;;5.023,20 TL;;0,00%;6.000,00 TL;;4186,00;;;;;;;;;;;;;4604,60;
